ID_Keluarga,Kecamatan,Kelurahan,Risiko_Stunting,Kemiskinan_Ekstrem,Sanitasi_Buruk,Akses_Air_Minim,Latitude,Longitude
KK-BJM-104,Banjarmasin Selatan,Pemurus Dalam,0,1,0,1,-3.33443,114.631659
KK-BJM-105,Banjarmasin Timur,Pekapuran Raya,1,1,0,0,-3.328637,114.629535
KK-BJM-106,Banjarmasin Selatan,Kelayan Dalam,0,0,0,1,-3.348343,114.569313
KK-BJM-107,Banjarmasin Timur,Pekapuran Raya,1,0,1,1,-3.289495,114.646689
KK-BJM-108,Banjarmasin Timur,Pekapuran Raya,0,0,0,0,-3.305096,114.589968
KK-BJM-109,Banjarmasin Tengah,Melayu,0,0,0,1,-3.284253,114.561534
KK-BJM-110,Banjarmasin Timur,Sungai Lulut,1,0,0,0,-3.309359,114.648355
KK-BJM-111,Banjarmasin Selatan,Kelayan Dalam,1,0,0,1,-3.30824,114.584569
KK-BJM-112,Banjarmasin Timur,Pekapuran Raya,1,1,1,0,-3.307565,114.601142
KK-BJM-113,Banjarmasin Timur,Benua Anyar,0,1,0,0,-3.336694,114.554439
KK-BJM-114,Banjarmasin Timur,Sungai Lulut,0,1,0,0,-3.313606,114.630651
KK-BJM-115,Banjarmasin Tengah,Pasar Lama,1,1,1,0,-3.284182,114.623704
KK-BJM-116,Banjarmasin Selatan,Pemurus Dalam,1,0,1,1,-3.319809,114.644887
KK-BJM-117,Banjarmasin Timur,Benua Anyar,1,0,1,1,-3.328026,114.634802
KK-BJM-118,Banjarmasin Tengah,Melayu,0,0,0,1,-3.314501,114.616689
KK-BJM-119,Banjarmasin Timur,Pekapuran Raya,0,0,1,0,-3.301195,114.605441
KK-BJM-120,Banjarmasin Selatan,Pemurus Dalam,0,0,0,1,-3.303455,114.587915
KK-BJM-121,Banjarmasin Tengah,Pekapuran Laut,1,1,0,0,-3.306914,114.580095
KK-BJM-122,Banjarmasin Tengah,Pekapuran Laut,0,0,0,1,-3.328729,114.571018
KK-BJM-123,Banjarmasin Tengah,Pasar Lama,0,0,0,0,-3.304171,114.596499
KK-BJM-124,Banjarmasin Timur,Benua Anyar,0,0,0,0,-3.335041,114.597319
KK-BJM-125,Banjarmasin Tengah,Pekapuran Laut,1,1,0,0,-3.30388,114.578379
KK-BJM-126,Banjarmasin Tengah,Pasar Lama,0,0,1,1,-3.306652,114.559339
KK-BJM-127,Banjarmasin Selatan,Mantuil,1,0,0,0,-3.328271,114.630656
KK-BJM-128,Banjarmasin Selatan,Kelayan Dalam,1,0,0,0,-3.346765,114.648394
KK-BJM-129,Banjarmasin Tengah,Pekapuran Laut,0,0,0,0,-3.318121,114.638614
KK-BJM-130,Banjarmasin Tengah,Pekapuran Laut,0,0,1,0,-3.299716,114.588398
KK-BJM-131,Banjarmasin Timur,Sungai Lulut,0,0,1,0,-3.33967,114.618762
KK-BJM-132,Banjarmasin Selatan,Pemurus Dalam,0,0,0,0,-3.334681,114.630411
KK-BJM-133,Banjarmasin Tengah,Pasar Lama,0,0,0,0,-3.317482,114.605741
KK-BJM-134,Banjarmasin Selatan,Pemurus Dalam,1,0,1,0,-3.340666,114.596464
KK-BJM-135,Banjarmasin Tengah,Pasar Lama,0,0,1,1,-3.308318,114.645004
KK-BJM-136,Banjarmasin Timur,Benua Anyar,0,1,1,0,-3.29295,114.639202
KK-BJM-137,Banjarmasin Timur,Benua Anyar,1,0,1,0,-3.318786,114.565916
KK-BJM-138,Banjarmasin Timur,Pekapuran Raya,1,0,0,0,-3.331857,114.574724
KK-BJM-139,Banjarmasin Tengah,Melayu,1,0,0,0,-3.296393,114.60213
KK-BJM-140,Banjarmasin Tengah,Pekapuran Laut,0,0,0,0,-3.330778,114.557748
KK-BJM-141,Banjarmasin Timur,Sungai Lulut,0,0,0,0,-3.33098,114.581971
KK-BJM-142,Banjarmasin Tengah,Pekapuran Laut,1,0,1,0,-3.340314,114.573126
KK-BJM-143,Banjarmasin Tengah,Pekapuran Laut,1,0,0,0,-3.300551,114.556423
KK-BJM-144,Banjarmasin Timur,Pekapuran Raya,0,0,0,0,-3.312017,114.591577
KK-BJM-145,Banjarmasin Selatan,Pemurus Dalam,0,0,1,0,-3.322737,114.62698
KK-BJM-146,Banjarmasin Tengah,Pekapuran Laut,1,0,0,0,-3.290029,114.626559
KK-BJM-147,Banjarmasin Timur,Pekapuran Raya,0,0,0,0,-3.349587,114.585176
KK-BJM-148,Banjarmasin Timur,Pekapuran Raya,1,0,1,0,-3.312325,114.623463
KK-BJM-149,Banjarmasin Tengah,Pekapuran Laut,1,1,0,0,-3.315824,114.577294
KK-BJM-150,Banjarmasin Timur,Sungai Lulut,1,1,0,0,-3.32278,114.616887
