ID_Keluarga,Kecamatan,Kelurahan,Latitude,Longitude,Desil_Kesejahteraan,Z_Score_Balita,Jenis_Jamban,Pembuangan_Akhir,Sumber_Air_Minum,Kemiskinan_Ekstrem,Risiko_Stunting,Sanitasi_Buruk,Akses_Air_Minim
KK-BJM-012,Banjarmasin Timur,Benua Anyar,-3.291612,114.566265,2,-2.22,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,1,0,0
KK-BJM-013,Banjarmasin Tengah,Melayu,-3.300873,114.618355,4,-2.11,Kloset Leher Angsa,Tanah Lapang,Sumur Bor/Terlindung,0,1,1,0
KK-BJM-014,Banjarmasin Tengah,Pekapuran Laut,-3.31261,114.574481,9,0.04,Cemplung/Plengsengan,Septic Tank,Sumur Tidak Terlindung,0,0,1,1
KK-BJM-015,Banjarmasin Timur,Benua Anyar,-3.301829,114.571962,1,-2.38,Kloset Leher Angsa,Septic Tank,PDAM,1,1,0,0
KK-BJM-016,Banjarmasin Selatan,Kelayan Dalam,-3.292474,114.630505,3,-1.99,Kloset Leher Angsa,Sungai/Danau,PDAM,0,0,1,0
KK-BJM-017,Banjarmasin Selatan,Kelayan Dalam,-3.28608,114.606718,2,-0.41,Kloset Leher Angsa,Septic Tank,Sumur Tidak Terlindung,0,0,0,1
KK-BJM-018,Banjarmasin Selatan,Mantuil,-3.315054,114.638468,1,-0.79,Tidak Punya (BABS),Sungai/Danau,PDAM,1,0,1,0
KK-BJM-019,Banjarmasin Selatan,Pemurus Dalam,-3.340226,114.624499,1,-1.31,Cemplung/Plengsengan,Sungai/Danau,Sumur Bor/Terlindung,1,0,1,0
KK-BJM-020,Banjarmasin Tengah,Pasar Lama,-3.32001,114.608353,6,-0.51,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-021,Banjarmasin Selatan,Mantuil,-3.315454,114.625578,8,2.24,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-022,Banjarmasin Selatan,Mantuil,-3.338801,114.618048,3,-1.02,Kloset Leher Angsa,Sungai/Danau,Sumur Bor/Terlindung,0,0,1,0
KK-BJM-023,Banjarmasin Timur,Pekapuran Raya,-3.308288,114.596805,8,-1.12,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-024,Banjarmasin Tengah,Pekapuran Laut,-3.30238,114.561455,6,2.37,Kloset Leher Angsa,Sungai/Danau,PDAM,0,0,1,0
KK-BJM-025,Banjarmasin Timur,Benua Anyar,-3.326188,114.57935,4,-1.63,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-026,Banjarmasin Selatan,Mantuil,-3.28869,114.576339,1,-1.5,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,1,0,0,0
KK-BJM-027,Banjarmasin Selatan,Mantuil,-3.286116,114.637052,9,-0.86,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-028,Banjarmasin Tengah,Pasar Lama,-3.307372,114.565284,2,-0.19,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-029,Banjarmasin Tengah,Pasar Lama,-3.285705,114.609894,9,0.19,Cemplung/Plengsengan,SPAL,Sumur Tidak Terlindung,0,0,1,1
KK-BJM-030,Banjarmasin Selatan,Pemurus Dalam,-3.288489,114.633167,7,-0.81,Kloset Leher Angsa,Sungai/Danau,Sumur Bor/Terlindung,0,0,1,0
KK-BJM-031,Banjarmasin Selatan,Kelayan Dalam,-3.288539,114.644695,7,-2.03,Cemplung/Plengsengan,Septic Tank,PDAM,0,1,1,0
KK-BJM-032,Banjarmasin Timur,Sungai Lulut,-3.281541,114.603271,2,-3.37,Kloset Leher Angsa,Sungai/Danau,Sumur Tidak Terlindung,0,1,1,1
KK-BJM-033,Banjarmasin Tengah,Melayu,-3.283721,114.566513,1,-1.36,Kloset Leher Angsa,Septic Tank,PDAM,1,0,0,0
KK-BJM-034,Banjarmasin Tengah,Melayu,-3.282495,114.642891,1,-0.22,Kloset Leher Angsa,Sungai/Danau,PDAM,1,0,1,0
KK-BJM-035,Banjarmasin Tengah,Pekapuran Laut,-3.300094,114.589899,4,1.19,Cemplung/Plengsengan,Septic Tank,Air Sungai,0,0,1,1
KK-BJM-036,Banjarmasin Timur,Pekapuran Raya,-3.287027,114.595149,10,-1.14,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-037,Banjarmasin Selatan,Pemurus Dalam,-3.348528,114.605392,2,-1.06,Kloset Leher Angsa,SPAL,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-038,Banjarmasin Selatan,Kelayan Dalam,-3.300451,114.555887,1,-3.66,Kloset Leher Angsa,Sungai/Danau,PDAM,1,1,1,0
KK-BJM-039,Banjarmasin Selatan,Pemurus Dalam,-3.34504,114.5738,1,-0.66,Kloset Leher Angsa,Tanah Lapang,PDAM,1,0,1,0
KK-BJM-040,Banjarmasin Selatan,Mantuil,-3.340738,114.643551,5,0.64,Cemplung/Plengsengan,Septic Tank,Sumur Bor/Terlindung,0,0,1,0
KK-BJM-041,Banjarmasin Timur,Sungai Lulut,-3.295077,114.63075,3,-3.05,Kloset Leher Angsa,SPAL,Sumur Bor/Terlindung,0,1,0,0
KK-BJM-042,Banjarmasin Selatan,Mantuil,-3.319826,114.592358,1,-1.66,Cemplung/Plengsengan,Septic Tank,PDAM,1,0,1,0
KK-BJM-043,Banjarmasin Tengah,Pekapuran Laut,-3.302864,114.648417,1,-3.51,Kloset Leher Angsa,SPAL,PDAM,1,1,0,0
KK-BJM-044,Banjarmasin Timur,Benua Anyar,-3.326249,114.636167,4,-1.13,Kloset Leher Angsa,SPAL,PDAM,0,0,0,0
KK-BJM-045,Banjarmasin Selatan,Mantuil,-3.318597,114.592188,5,-0.97,Kloset Leher Angsa,Sungai/Danau,PDAM,0,0,1,0
KK-BJM-046,Banjarmasin Selatan,Kelayan Dalam,-3.318981,114.636135,3,-1.25,Kloset Leher Angsa,Sungai/Danau,Sumur Tidak Terlindung,0,0,1,1
KK-BJM-047,Banjarmasin Selatan,Mantuil,-3.28005,114.633603,2,0.84,Kloset Leher Angsa,Sungai/Danau,Sumur Bor/Terlindung,0,0,1,0
KK-BJM-048,Banjarmasin Selatan,Kelayan Dalam,-3.321551,114.598136,4,2.26,Kloset Leher Angsa,Septic Tank,Sumur Tidak Terlindung,0,0,0,1
KK-BJM-049,Banjarmasin Selatan,Kelayan Dalam,-3.323472,114.648531,9,-1.04,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-050,Banjarmasin Timur,Pekapuran Raya,-3.320389,114.645732,6,2.97,Cemplung/Plengsengan,Sungai/Danau,Sumur Bor/Terlindung,0,0,1,0
KK-BJM-051,Banjarmasin Tengah,Pasar Lama,-3.299711,114.56548,5,-0.87,Kloset Leher Angsa,Septic Tank,Sumur Tidak Terlindung,0,0,0,1
KK-BJM-052,Banjarmasin Selatan,Mantuil,-3.298498,114.556096,5,-0.78,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-053,Banjarmasin Selatan,Mantuil,-3.316625,114.641939,1,-1.34,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,1,0,0,0
KK-BJM-054,Banjarmasin Selatan,Mantuil,-3.344392,114.568582,5,0.77,Kloset Leher Angsa,Sungai/Danau,PDAM,0,0,1,0
KK-BJM-055,Banjarmasin Tengah,Pekapuran Laut,-3.321736,114.64416,3,-1.15,Cemplung/Plengsengan,SPAL,Sumur Tidak Terlindung,0,0,1,1
KK-BJM-056,Banjarmasin Tengah,Pasar Lama,-3.347218,114.558198,5,1.12,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-057,Banjarmasin Tengah,Pasar Lama,-3.327854,114.576077,2,-0.65,Kloset Leher Angsa,Tanah Lapang,PDAM,0,0,1,0
KK-BJM-058,Banjarmasin Timur,Sungai Lulut,-3.331407,114.563088,8,1.05,Kloset Leher Angsa,Sungai/Danau,Sumur Bor/Terlindung,0,0,1,0
KK-BJM-059,Banjarmasin Timur,Pekapuran Raya,-3.284969,114.643573,4,-2.45,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,1,0,0
KK-BJM-060,Banjarmasin Tengah,Pasar Lama,-3.280273,114.557326,2,-2.93,Kloset Leher Angsa,SPAL,PDAM,0,1,0,0
KK-BJM-061,Banjarmasin Timur,Sungai Lulut,-3.284672,114.638086,9,2.34,Tidak Punya (BABS),Sungai/Danau,PDAM,0,0,1,0
KK-BJM-062,Banjarmasin Timur,Pekapuran Raya,-3.338958,114.633374,1,-0.48,Tidak Punya (BABS),Sungai/Danau,Air Sungai,1,0,1,1
KK-BJM-063,Banjarmasin Tengah,Pasar Lama,-3.312974,114.616786,10,0.55,Cemplung/Plengsengan,Septic Tank,PDAM,0,0,1,0
KK-BJM-064,Banjarmasin Tengah,Pekapuran Laut,-3.284275,114.563429,8,-1.87,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-065,Banjarmasin Selatan,Mantuil,-3.311274,114.577235,9,0.83,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-066,Banjarmasin Tengah,Melayu,-3.335748,114.613424,5,-1.05,Tidak Punya (BABS),Sungai/Danau,Sumur Bor/Terlindung,0,0,1,0
KK-BJM-067,Banjarmasin Timur,Pekapuran Raya,-3.286626,114.63461,8,-1.99,Cemplung/Plengsengan,SPAL,Sumur Bor/Terlindung,0,0,1,0
KK-BJM-068,Banjarmasin Timur,Pekapuran Raya,-3.346914,114.583356,3,-3.35,Kloset Leher Angsa,Sungai/Danau,Sumur Tidak Terlindung,0,1,1,1
KK-BJM-069,Banjarmasin Timur,Sungai Lulut,-3.298114,114.605168,8,-0.15,Tidak Punya (BABS),Sungai/Danau,Sumur Bor/Terlindung,0,0,1,0
KK-BJM-070,Banjarmasin Selatan,Kelayan Dalam,-3.344733,114.638311,6,2.47,Kloset Leher Angsa,Sungai/Danau,Sumur Bor/Terlindung,0,0,1,0
KK-BJM-071,Banjarmasin Tengah,Pekapuran Laut,-3.291578,114.608251,8,-1.69,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-072,Banjarmasin Selatan,Kelayan Dalam,-3.328422,114.639898,4,1.88,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-073,Banjarmasin Selatan,Pemurus Dalam,-3.335295,114.574953,2,-3.49,Kloset Leher Angsa,Septic Tank,PDAM,0,1,0,0
KK-BJM-074,Banjarmasin Tengah,Melayu,-3.281831,114.624948,7,2.59,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-075,Banjarmasin Selatan,Kelayan Dalam,-3.281666,114.631077,6,2.35,Kloset Leher Angsa,SPAL,PDAM,0,0,0,0
KK-BJM-076,Banjarmasin Selatan,Kelayan Dalam,-3.29844,114.583219,1,0.65,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,1,0,0,0
KK-BJM-077,Banjarmasin Tengah,Pasar Lama,-3.293248,114.576681,6,1.83,Tidak Punya (BABS),Sungai/Danau,PDAM,0,0,1,0
KK-BJM-078,Banjarmasin Selatan,Pemurus Dalam,-3.288948,114.635859,6,-1.28,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-079,Banjarmasin Timur,Pekapuran Raya,-3.328637,114.629535,1,-2.86,Tidak Punya (BABS),Sungai/Danau,Sumur Bor/Terlindung,1,1,1,0
KK-BJM-080,Banjarmasin Selatan,Mantuil,-3.336481,114.582826,3,0.32,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-081,Banjarmasin Timur,Pekapuran Raya,-3.305096,114.589968,4,2.9,Cemplung/Plengsengan,SPAL,PDAM,0,0,1,0
KK-BJM-082,Banjarmasin Tengah,Melayu,-3.284253,114.561534,10,2.84,Cemplung/Plengsengan,Septic Tank,Sumur Bor/Terlindung,0,0,1,0
KK-BJM-083,Banjarmasin Selatan,Mantuil,-3.282623,114.576547,3,-3.46,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,1,0,0
KK-BJM-084,Banjarmasin Timur,Pekapuran Raya,-3.299002,114.581368,1,-0.97,Kloset Leher Angsa,Septic Tank,PDAM,1,0,0,0
KK-BJM-085,Banjarmasin Tengah,Pekapuran Laut,-3.323036,114.607659,8,-1.1,Cemplung/Plengsengan,Septic Tank,PDAM,0,0,1,0
KK-BJM-086,Banjarmasin Tengah,Melayu,-3.349882,114.642558,3,-1.31,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-087,Banjarmasin Tengah,Pasar Lama,-3.298407,114.569704,3,-1.84,Kloset Leher Angsa,SPAL,PDAM,0,0,0,0
KK-BJM-088,Banjarmasin Tengah,Melayu,-3.306379,114.616339,3,-3.38,Kloset Leher Angsa,Septic Tank,Sumur Tidak Terlindung,0,1,0,1
KK-BJM-089,Banjarmasin Timur,Benua Anyar,-3.32835,114.590839,5,-0.29,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-090,Banjarmasin Timur,Benua Anyar,-3.34109,114.592045,1,0.7,Kloset Leher Angsa,Sungai/Danau,Sumur Bor/Terlindung,1,0,1,0
KK-BJM-091,Banjarmasin Tengah,Pasar Lama,-3.286804,114.611551,3,-2.5,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,1,0,0
KK-BJM-092,Banjarmasin Tengah,Pekapuran Laut,-3.328729,114.571018,9,1.82,Kloset Leher Angsa,Tanah Lapang,Sumur Tidak Terlindung,0,0,1,1
KK-BJM-093,Banjarmasin Tengah,Pasar Lama,-3.327443,114.594179,2,-0.62,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-094,Banjarmasin Tengah,Melayu,-3.294439,114.645983,1,-0.32,Kloset Leher Angsa,Septic Tank,PDAM,1,0,0,0
KK-BJM-095,Banjarmasin Tengah,Pekapuran Laut,-3.330135,114.616385,7,0.91,Kloset Leher Angsa,Sungai/Danau,PDAM,0,0,1,0
KK-BJM-096,Banjarmasin Selatan,Kelayan Dalam,-3.302904,114.572464,1,-3.0,Kloset Leher Angsa,SPAL,Sumur Tidak Terlindung,1,1,0,1
KK-BJM-097,Banjarmasin Selatan,Kelayan Dalam,-3.332861,114.597514,6,2.17,Cemplung/Plengsengan,Septic Tank,PDAM,0,0,1,0
KK-BJM-098,Banjarmasin Selatan,Pemurus Dalam,-3.320989,114.612977,6,-1.43,Cemplung/Plengsengan,Tanah Lapang,PDAM,0,0,1,0
KK-BJM-099,Banjarmasin Tengah,Melayu,-3.315394,114.574398,3,-0.72,Cemplung/Plengsengan,Septic Tank,Sumur Tidak Terlindung,0,0,1,1
KK-BJM-100,Banjarmasin Selatan,Kelayan Dalam,-3.295511,114.571884,8,1.92,Kloset Leher Angsa,Sungai/Danau,Sumur Bor/Terlindung,0,0,1,0
KK-BJM-101,Banjarmasin Tengah,Pasar Lama,-3.317482,114.605741,1,0.59,Tidak Punya (BABS),Sungai/Danau,Sumur Tidak Terlindung,1,0,1,1
KK-BJM-102,Banjarmasin Selatan,Pemurus Dalam,-3.340666,114.596464,3,-1.34,Cemplung/Plengsengan,Septic Tank,PDAM,0,0,1,0
KK-BJM-103,Banjarmasin Tengah,Pasar Lama,-3.327789,114.625525,9,-0.07,Kloset Leher Angsa,Septic Tank,Air Sungai,0,0,0,1
KK-BJM-104,Banjarmasin Tengah,Pasar Lama,-3.320128,114.640685,10,-0.05,Kloset Leher Angsa,SPAL,PDAM,0,0,0,0
KK-BJM-105,Banjarmasin Selatan,Mantuil,-3.289695,114.595007,2,-0.24,Kloset Leher Angsa,SPAL,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-106,Banjarmasin Tengah,Melayu,-3.296393,114.60213,6,0.95,Cemplung/Plengsengan,Septic Tank,PDAM,0,0,1,0
KK-BJM-107,Banjarmasin Timur,Pekapuran Raya,-3.344576,114.578573,1,-2.64,Kloset Leher Angsa,Septic Tank,Sumur Tidak Terlindung,1,1,0,1
KK-BJM-108,Banjarmasin Timur,Benua Anyar,-3.34436,114.565083,3,-2.08,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,1,0,0
KK-BJM-109,Banjarmasin Selatan,Mantuil,-3.335023,114.591487,5,-0.68,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-110,Banjarmasin Timur,Pekapuran Raya,-3.345641,114.633289,1,-2.05,Cemplung/Plengsengan,Sungai/Danau,PDAM,1,1,1,0
KK-BJM-111,Banjarmasin Tengah,Pasar Lama,-3.348633,114.638066,1,-1.12,Tidak Punya (BABS),Sungai/Danau,PDAM,1,0,1,0
KK-BJM-112,Banjarmasin Timur,Sungai Lulut,-3.284008,114.579861,7,-0.36,Tidak Punya (BABS),Sungai/Danau,Sumur Bor/Terlindung,0,0,1,0
KK-BJM-113,Banjarmasin Timur,Benua Anyar,-3.297674,114.604613,3,-0.98,Kloset Leher Angsa,Sungai/Danau,Sumur Bor/Terlindung,0,0,1,0
KK-BJM-114,Banjarmasin Selatan,Pemurus Dalam,-3.33464,114.593584,3,-3.85,Tidak Punya (BABS),Sungai/Danau,PDAM,0,1,1,0
KK-BJM-115,Banjarmasin Timur,Benua Anyar,-3.30246,114.590432,1,-3.17,Kloset Leher Angsa,Septic Tank,PDAM,1,1,0,0
KK-BJM-116,Banjarmasin Timur,Sungai Lulut,-3.281349,114.603412,1,0.53,Kloset Leher Angsa,Sungai/Danau,Sumur Bor/Terlindung,1,0,1,0
KK-BJM-117,Banjarmasin Tengah,Pasar Lama,-3.30359,114.558395,10,-0.14,Kloset Leher Angsa,Septic Tank,Sumur Tidak Terlindung,0,0,0,1
KK-BJM-118,Banjarmasin Timur,Sungai Lulut,-3.34648,114.58791,2,-2.94,Tidak Punya (BABS),Sungai/Danau,Air Sungai,0,1,1,1
KK-BJM-119,Banjarmasin Timur,Pekapuran Raya,-3.296714,114.587913,1,-0.24,Cemplung/Plengsengan,Septic Tank,Air Sungai,1,0,1,1
KK-BJM-120,Banjarmasin Timur,Pekapuran Raya,-3.291556,114.597031,1,-0.25,Kloset Leher Angsa,Tanah Lapang,Sumur Bor/Terlindung,1,0,1,0
KK-BJM-121,Banjarmasin Selatan,Pemurus Dalam,-3.334304,114.556862,5,2.77,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-122,Banjarmasin Selatan,Kelayan Dalam,-3.283527,114.569936,4,-2.39,Tidak Punya (BABS),Sungai/Danau,PDAM,0,1,1,0
KK-BJM-123,Banjarmasin Selatan,Kelayan Dalam,-3.341165,114.616946,10,0.6,Cemplung/Plengsengan,Septic Tank,Sumur Bor/Terlindung,0,0,1,0
KK-BJM-124,Banjarmasin Selatan,Pemurus Dalam,-3.301037,114.62669,2,-3.16,Kloset Leher Angsa,Septic Tank,PDAM,0,1,0,0
KK-BJM-125,Banjarmasin Tengah,Pasar Lama,-3.299715,114.627779,4,-1.6,Kloset Leher Angsa,Tanah Lapang,Air Sungai,0,0,1,1
KK-BJM-126,Banjarmasin Timur,Sungai Lulut,-3.309492,114.642889,5,0.67,Kloset Leher Angsa,Septic Tank,Sumur Tidak Terlindung,0,0,0,1
KK-BJM-127,Banjarmasin Timur,Pekapuran Raya,-3.284097,114.569833,5,0.76,Kloset Leher Angsa,Sungai/Danau,Sumur Tidak Terlindung,0,0,1,1
KK-BJM-128,Banjarmasin Tengah,Pekapuran Laut,-3.342867,114.627248,9,2.18,Cemplung/Plengsengan,SPAL,PDAM,0,0,1,0
KK-BJM-129,Banjarmasin Tengah,Pekapuran Laut,-3.294264,114.606593,9,-2.27,Cemplung/Plengsengan,Septic Tank,PDAM,0,1,1,0
KK-BJM-130,Banjarmasin Tengah,Melayu,-3.303694,114.556896,3,-0.76,Cemplung/Plengsengan,Tanah Lapang,PDAM,0,0,1,0
KK-BJM-131,Banjarmasin Selatan,Pemurus Dalam,-3.292437,114.560554,4,2.78,Kloset Leher Angsa,Tanah Lapang,Sumur Tidak Terlindung,0,0,1,1
KK-BJM-132,Banjarmasin Tengah,Melayu,-3.300488,114.593549,7,1.54,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-133,Banjarmasin Tengah,Melayu,-3.306886,114.641962,1,-0.13,Cemplung/Plengsengan,Sungai/Danau,Air Sungai,1,0,1,1
KK-BJM-134,Banjarmasin Timur,Pekapuran Raya,-3.292199,114.609247,10,-0.73,Kloset Leher Angsa,Sungai/Danau,Sumur Tidak Terlindung,0,0,1,1
KK-BJM-135,Banjarmasin Selatan,Kelayan Dalam,-3.330475,114.59508,7,1.63,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-136,Banjarmasin Tengah,Pasar Lama,-3.303227,114.58364,10,0.22,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-137,Banjarmasin Timur,Sungai Lulut,-3.315872,114.585482,5,-1.08,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-138,Banjarmasin Timur,Benua Anyar,-3.300917,114.577627,4,-2.44,Cemplung/Plengsengan,Septic Tank,Sumur Tidak Terlindung,0,1,1,1
KK-BJM-139,Banjarmasin Selatan,Kelayan Dalam,-3.333105,114.590643,4,0.55,Kloset Leher Angsa,Sungai/Danau,PDAM,0,0,1,0
KK-BJM-140,Banjarmasin Selatan,Mantuil,-3.316673,114.621184,1,-1.76,Kloset Leher Angsa,Sungai/Danau,Sumur Bor/Terlindung,1,0,1,0
KK-BJM-141,Banjarmasin Selatan,Kelayan Dalam,-3.329404,114.59044,6,-1.16,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-142,Banjarmasin Tengah,Pasar Lama,-3.324169,114.605347,3,-2.28,Kloset Leher Angsa,Septic Tank,PDAM,0,1,0,0
KK-BJM-143,Banjarmasin Tengah,Pasar Lama,-3.326845,114.620285,9,-1.01,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-144,Banjarmasin Timur,Sungai Lulut,-3.341554,114.569258,3,-3.4,Kloset Leher Angsa,Sungai/Danau,Sumur Tidak Terlindung,0,1,1,1
KK-BJM-145,Banjarmasin Tengah,Pasar Lama,-3.33704,114.571638,1,-1.58,Tidak Punya (BABS),Sungai/Danau,PDAM,1,0,1,0
KK-BJM-146,Banjarmasin Tengah,Pasar Lama,-3.281638,114.602464,3,-2.59,Tidak Punya (BABS),Sungai/Danau,PDAM,0,1,1,0
KK-BJM-147,Banjarmasin Selatan,Kelayan Dalam,-3.329263,114.586088,5,-0.84,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-148,Banjarmasin Tengah,Pasar Lama,-3.341139,114.554552,1,-3.73,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,1,1,0,0
KK-BJM-149,Banjarmasin Timur,Benua Anyar,-3.283914,114.613787,2,-0.24,Kloset Leher Angsa,Sungai/Danau,PDAM,0,0,1,0
KK-BJM-150,Banjarmasin Selatan,Kelayan Dalam,-3.309816,114.59694,5,-0.08,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
