ID_Keluarga,Kecamatan,Kelurahan,Latitude,Longitude,Desil_Kesejahteraan,Z_Score_Balita,Jenis_Jamban,Pembuangan_Akhir,Sumber_Air_Minum,Kemiskinan_Ekstrem,Risiko_Stunting,Sanitasi_Buruk,Akses_Air_Minim
KK-BJM-017,Banjarmasin Tengah,Pekapuran Laut,-3.32105,114.5906,5,-3.12,Kloset Leher Angsa,Septic Tank,Sumur Tidak Terlindung,0,1,0,1
KK-BJM-018,Banjarmasin Tengah,Pekapuran Laut,-3.32288,114.5917,3,-1.04,Kloset Leher Angsa,Septic Tank,Sumur Tidak Terlindung,0,0,0,1
KK-BJM-019,Banjarmasin Tengah,Pekapuran Laut,-3.32155,114.5924,1,-1.01,Kloset Leher Angsa,Septic Tank,Sumur Tidak Terlindung,1,0,0,1
KK-BJM-020,Banjarmasin Tengah,Pekapuran Laut,-3.32235,114.58995,8,-1.64,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-021,Banjarmasin Tengah,Pekapuran Laut,-3.32128,114.5914,5,-0.67,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-022,Banjarmasin Tengah,Pekapuran Laut,-3.32218,114.5909,8,0.04236111111,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-023,Banjarmasin Tengah,Pekapuran Laut,-3.3218,114.59265,5,-2.93,Cemplung/Plengsengan,Tanah Lapang,PDAM,0,1,1,0
KK-BJM-024,Banjarmasin Tengah,Pekapuran Laut,-3.3225,114.59035,5,0.38,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-025,Banjarmasin Tengah,Pekapuran Laut,-3.32135,114.5919,3,-1.55,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-026,Banjarmasin Tengah,Pekapuran Laut,-3.322,114.59215,3,-3.7,Cemplung/Plengsengan,Tanah Lapang,Air Sungai,0,1,1,1
KK-BJM-027,Banjarmasin Tengah,Pekapuran Laut,-3.3227,114.5907,3,-3.27,Kloset Leher Angsa,Septic Tank,Sumur Tidak Terlindung,0,1,0,1
KK-BJM-028,Banjarmasin Tengah,Pekapuran Laut,-3.3214,114.59105,3,-2.95,Cemplung/Plengsengan,Tanah Lapang,Sumur Tidak Terlindung,0,1,1,1
KK-BJM-029,Banjarmasin Tengah,Pekapuran Laut,-3.32212,114.59285,5,0.05277777778,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-030,Banjarmasin Tengah,Pekapuran Laut,-3.32255,114.59125,5,-0.57,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-031,Banjarmasin Tengah,Pekapuran Laut,-3.32118,114.59055,8,0.09861111111,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-032,Banjarmasin Tengah,Pekapuran Laut,-3.32282,114.5922,5,1.07,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-033,Banjarmasin Tengah,Pekapuran Laut,-3.32165,114.59155,3,-0.74,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-034,Banjarmasin Tengah,Pekapuran Laut,-3.32228,114.5902,3,-3.29,Tidak Punya (BABS),Sungai/Danau,Sumur Tidak Terlindung,0,1,1,1
KK-BJM-035,Banjarmasin Tengah,Pekapuran Laut,-3.32108,114.59255,8,0.08888888889,Cemplung/Plengsengan,Tanah Lapang,PDAM,0,0,1,0
KK-BJM-036,Banjarmasin Tengah,Pekapuran Laut,-3.32245,114.591,3,-2.23,Tidak Punya (BABS),Sungai/Danau,Sumur Tidak Terlindung,0,1,1,1
KK-BJM-037,Banjarmasin Tengah,Pekapuran Laut,-3.32195,114.59295,8,-0.97,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-038,Banjarmasin Tengah,Pekapuran Laut,-3.32265,114.5904,8,-1.57,Kloset Leher Angsa,Septic Tank,Sumur Tidak Terlindung,0,0,0,1
KK-BJM-039,Banjarmasin Tengah,Pekapuran Laut,-3.32132,114.5918,5,0.18,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-040,Banjarmasin Tengah,Pekapuran Laut,-3.32208,114.59145,5,0.24,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-041,Banjarmasin Tengah,Pekapuran Laut,-3.32172,114.59235,3,-1.07,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-042,Banjarmasin Tengah,Pekapuran Laut,-3.32252,114.59085,5,0.06111111111,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-043,Banjarmasin Tengah,Pekapuran Laut,-3.32122,114.59115,8,-0.19,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-044,Banjarmasin Tengah,Pekapuran Laut,-3.32285,114.59195,5,-3.88,Cemplung/Plengsengan,Tanah Lapang,Sumur Tidak Terlindung,0,1,1,1
KK-BJM-045,Banjarmasin Tengah,Pekapuran Laut,-3.32152,114.59065,1,-3.58,Kloset Leher Angsa,Septic Tank,Sumur Tidak Terlindung,1,1,0,1
KK-BJM-046,Banjarmasin Tengah,Pekapuran Laut,-3.32215,114.59275,8,-3.87,Tidak Punya (BABS),Sungai/Danau,Air Sungai,0,1,1,1
KK-BJM-047,Banjarmasin Tengah,Pekapuran Laut,-3.32242,114.59135,1,-3.55,Kloset Leher Angsa,Septic Tank,PDAM,1,1,0,0
KK-BJM-048,Banjarmasin Tengah,Pekapuran Laut,-3.32182,114.5901,8,0.06388888889,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-049,Banjarmasin Tengah,Pekapuran Laut,-3.32238,114.5921,5,1.16,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-050,Banjarmasin Tengah,Pekapuran Laut,-3.32125,114.59165,3,-2.75,Cemplung/Plengsengan,Tanah Lapang,Sumur Tidak Terlindung,0,1,1,1
KK-BJM-051,Banjarmasin Timur,Sungai Lulut,-3.32412,114.59452,8,0.06527777778,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-052,Banjarmasin Timur,Sungai Lulut,-3.32456,114.59511,3,-3.24,Cemplung/Plengsengan,Tanah Lapang,PDAM,0,1,1,0
KK-BJM-053,Banjarmasin Timur,Sungai Lulut,-3.32389,114.5938,3,-3.64,Cemplung/Plengsengan,Tanah Lapang,Air Sungai,0,1,1,1
KK-BJM-054,Banjarmasin Timur,Sungai Lulut,-3.32501,114.5942,5,-3.12,Tidak Punya (BABS),Sungai/Danau,Sumur Tidak Terlindung,0,1,1,1
KK-BJM-055,Banjarmasin Timur,Sungai Lulut,-3.32345,114.5956,3,1.46,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-056,Banjarmasin Timur,Sungai Lulut,-3.32478,114.5931,1,0.21,Kloset Leher Angsa,Septic Tank,PDAM,1,0,0,0
KK-BJM-057,Banjarmasin Timur,Sungai Lulut,-3.32532,114.595,3,1.41,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-058,Banjarmasin Timur,Sungai Lulut,-3.324,114.5948,3,1.47,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-059,Banjarmasin Timur,Sungai Lulut,-3.3249,114.5935,1,0.1069444444,Kloset Leher Angsa,Septic Tank,PDAM,1,0,0,0
KK-BJM-060,Banjarmasin Timur,Sungai Lulut,-3.3236,114.5953,3,-0.79,Kloset Leher Angsa,Septic Tank,Sumur Tidak Terlindung,0,0,0,1
KK-BJM-061,Banjarmasin Timur,Sungai Lulut,-3.32435,114.59405,8,0.27,Cemplung/Plengsengan,Tanah Lapang,PDAM,0,0,1,0
KK-BJM-062,Banjarmasin Timur,Sungai Lulut,-3.32482,114.59545,1,-3.59,Tidak Punya (BABS),Sungai/Danau,Sumur Tidak Terlindung,1,1,1,1
KK-BJM-063,Banjarmasin Timur,Sungai Lulut,-3.32375,114.5934,3,1.02,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-064,Banjarmasin Timur,Sungai Lulut,-3.32515,114.5947,3,0.08958333333,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-065,Banjarmasin Timur,Sungai Lulut,-3.32332,114.5959,1,-1.59,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,1,0,0,0
KK-BJM-066,Banjarmasin Timur,Sungai Lulut,-3.32462,114.59325,3,-2.36,Kloset Leher Angsa,Septic Tank,Air Sungai,0,1,0,1
KK-BJM-067,Banjarmasin Timur,Sungai Lulut,-3.32545,114.59525,3,-2.87,Tidak Punya (BABS),Sungai/Danau,Air Sungai,0,1,1,1
KK-BJM-068,Banjarmasin Timur,Sungai Lulut,-3.32392,114.59435,5,0.03,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-069,Banjarmasin Timur,Sungai Lulut,-3.32485,114.59385,1,-2.64,Cemplung/Plengsengan,Tanah Lapang,Sumur Tidak Terlindung,1,1,1,1
KK-BJM-070,Banjarmasin Timur,Sungai Lulut,-3.32352,114.59515,3,-2.77,Cemplung/Plengsengan,Tanah Lapang,Sumur Tidak Terlindung,0,1,1,1
KK-BJM-071,Banjarmasin Timur,Sungai Lulut,-3.32425,114.59585,3,-1.86,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-072,Banjarmasin Timur,Sungai Lulut,-3.32495,114.5933,5,-1.61,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-073,Banjarmasin Timur,Sungai Lulut,-3.32382,114.59465,3,-3.34,Tidak Punya (BABS),Sungai/Danau,Air Sungai,0,1,1,1
KK-BJM-074,Banjarmasin Timur,Sungai Lulut,-3.32525,114.5941,3,-1.28,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-075,Banjarmasin Timur,Sungai Lulut,-3.32342,114.59555,3,0.1069444444,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-076,Banjarmasin Timur,Sungai Lulut,-3.32468,114.59495,1,-2.45,Cemplung/Plengsengan,Tanah Lapang,PDAM,1,1,1,0
KK-BJM-077,Banjarmasin Timur,Sungai Lulut,-3.32418,114.59365,1,-2.33,Tidak Punya (BABS),Sungai/Danau,Air Sungai,1,1,1,1
KK-BJM-078,Banjarmasin Timur,Sungai Lulut,-3.32508,114.59535,5,-1.29,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-079,Banjarmasin Timur,Sungai Lulut,-3.32368,114.59445,8,-1.11,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-080,Banjarmasin Timur,Sungai Lulut,-3.32448,114.59395,8,-0.92,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-081,Banjarmasin Timur,Sungai Lulut,-3.32395,114.59505,5,-3.2,Kloset Leher Angsa,Septic Tank,PDAM,0,1,0,0
KK-BJM-082,Banjarmasin Timur,Sungai Lulut,-3.32522,114.59355,8,-1.39,Cemplung/Plengsengan,Tanah Lapang,PDAM,0,0,1,0
KK-BJM-083,Banjarmasin Timur,Sungai Lulut,-3.32358,114.59475,8,0.25,Cemplung/Plengsengan,Tanah Lapang,Sumur Tidak Terlindung,0,0,1,1
KK-BJM-084,Banjarmasin Timur,Sungai Lulut,-3.32475,114.59425,1,-2.2,Cemplung/Plengsengan,Tanah Lapang,Sumur Tidak Terlindung,1,1,1,1
KK-BJM-085,Banjarmasin Timur,Sungai Lulut,-3.32405,114.59575,5,1.35,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-086,Banjarmasin Timur,Sungai Lulut,-3.32535,114.59315,8,-1.74,Kloset Leher Angsa,Septic Tank,Sumur Tidak Terlindung,0,0,0,1
KK-BJM-087,Banjarmasin Timur,Sungai Lulut,-3.32378,114.5952,3,-1.74,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-088,Banjarmasin Timur,Sungai Lulut,-3.32442,114.59375,8,-3.8,Tidak Punya (BABS),Sungai/Danau,Sumur Tidak Terlindung,0,1,1,1
KK-BJM-089,Banjarmasin Timur,Sungai Lulut,-3.32498,114.59485,1,1.02,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,1,0,0,0
KK-BJM-090,Banjarmasin Timur,Sungai Lulut,-3.32365,114.59415,5,0.1048611111,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-091,Banjarmasin Timur,Sungai Lulut,-3.32452,114.59565,1,-2.6,Kloset Leher Angsa,Septic Tank,PDAM,1,1,0,0
KK-BJM-092,Banjarmasin Timur,Sungai Lulut,-3.32385,114.59335,5,1.47,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-093,Banjarmasin Timur,Sungai Lulut,-3.32518,114.5949,3,-2.67,Tidak Punya (BABS),Sungai/Danau,Air Sungai,0,1,1,1
KK-BJM-094,Banjarmasin Timur,Sungai Lulut,-3.32348,114.5958,3,-1.03,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-095,Banjarmasin Timur,Sungai Lulut,-3.32488,114.59345,8,1.03,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-096,Banjarmasin Timur,Sungai Lulut,-3.32415,114.5943,1,-3.63,Tidak Punya (BABS),Sungai/Danau,Sumur Tidak Terlindung,1,1,1,1
KK-BJM-097,Banjarmasin Timur,Sungai Lulut,-3.32528,114.59505,5,-0.81,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-098,Banjarmasin Timur,Sungai Lulut,-3.32372,114.5939,1,1.39,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,1,0,0,0
KK-BJM-099,Banjarmasin Timur,Sungai Lulut,-3.32445,114.59535,8,-2.16,Tidak Punya (BABS),Sungai/Danau,Air Sungai,0,1,1,1
KK-BJM-100,Banjarmasin Timur,Sungai Lulut,-3.32398,114.5946,1,-2.87,Cemplung/Plengsengan,Tanah Lapang,Air Sungai,1,1,1,1
KK-BJM-101,Banjarmasin Selatan,Mantuil,-3.32712,114.5978,5,0.46,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-102,Banjarmasin Selatan,Mantuil,-3.32756,114.5984,5,-1.16,Cemplung/Plengsengan,Tanah Lapang,Sumur Bor/Terlindung,0,0,1,0
KK-BJM-103,Banjarmasin Selatan,Mantuil,-3.32689,114.5971,5,-2.24,Tidak Punya (BABS),Sungai/Danau,Sumur Tidak Terlindung,0,1,1,1
KK-BJM-104,Banjarmasin Selatan,Mantuil,-3.32801,114.5975,5,0.06736111111,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-105,Banjarmasin Selatan,Mantuil,-3.32645,114.5989,3,-2.74,Kloset Leher Angsa,Septic Tank,PDAM,0,1,0,0
KK-BJM-106,Banjarmasin Selatan,Mantuil,-3.32832,114.5981,5,-1.41,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-107,Banjarmasin Selatan,Mantuil,-3.32789,114.5965,8,-0.31,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-108,Banjarmasin Selatan,Mantuil,-3.32845,114.5991,1,-1.15,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,1,0,0,0
KK-BJM-109,Banjarmasin Selatan,Mantuil,-3.3272,114.5982,5,0.08472222222,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-110,Banjarmasin Selatan,Mantuil,-3.3281,114.5973,3,1.35,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-111,Banjarmasin Selatan,Mantuil,-3.32695,114.5974,3,0.36,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-112,Banjarmasin Selatan,Mantuil,-3.32765,114.5987,3,0.05069444444,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-113,Banjarmasin Selatan,Mantuil,-3.32665,114.5968,3,1.02,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-114,Banjarmasin Selatan,Mantuil,-3.32815,114.59795,1,-2.74,Cemplung/Plengsengan,Tanah Lapang,Sumur Tidak Terlindung,1,1,1,1
KK-BJM-115,Banjarmasin Selatan,Mantuil,-3.32632,114.59915,1,1.03,Kloset Leher Angsa,Septic Tank,PDAM,1,0,0,0
KK-BJM-116,Banjarmasin Selatan,Mantuil,-3.32742,114.59665,5,-1.33,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-117,Banjarmasin Selatan,Mantuil,-3.32825,114.59845,1,1.01,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,1,0,0,0
KK-BJM-118,Banjarmasin Selatan,Mantuil,-3.32675,114.59765,1,0.09,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,1,0,0,0
KK-BJM-119,Banjarmasin Selatan,Mantuil,-3.32792,114.59715,1,-2.75,Cemplung/Plengsengan,Tanah Lapang,Air Sungai,1,1,1,1
KK-BJM-120,Banjarmasin Selatan,Mantuil,-3.32652,114.59835,5,1.55,Kloset Leher Angsa,Septic Tank,Sumur Tidak Terlindung,0,0,0,1
KK-BJM-121,Banjarmasin Selatan,Mantuil,-3.32732,114.599,3,-2.18,Cemplung/Plengsengan,Tanah Lapang,Air Sungai,0,1,1,1
KK-BJM-122,Banjarmasin Selatan,Mantuil,-3.32782,114.59695,3,0.08888888889,Kloset Leher Angsa,Septic Tank,Sumur Tidak Terlindung,0,0,0,1
KK-BJM-123,Banjarmasin Selatan,Mantuil,-3.32682,114.59755,5,0.07,Kloset Leher Angsa,Septic Tank,Sumur Tidak Terlindung,0,0,0,1
KK-BJM-124,Banjarmasin Selatan,Mantuil,-3.32838,114.59825,5,1.05,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-125,Banjarmasin Selatan,Mantuil,-3.32648,114.59865,1,0.07,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,1,0,0,0
KK-BJM-126,Banjarmasin Selatan,Mantuil,-3.32752,114.59725,8,-1.28,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-127,Banjarmasin Selatan,Mantuil,-3.32805,114.59885,5,-3.53,Cemplung/Plengsengan,Tanah Lapang,Sumur Tidak Terlindung,0,1,1,1
KK-BJM-128,Banjarmasin Selatan,Mantuil,-3.32678,114.59785,3,-0.01,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-129,Banjarmasin Selatan,Mantuil,-3.32795,114.59675,3,-3.46,Cemplung/Plengsengan,Tanah Lapang,PDAM,0,1,1,0
KK-BJM-130,Banjarmasin Selatan,Mantuil,-3.32658,114.59855,3,-1.59,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-131,Banjarmasin Selatan,Mantuil,-3.32725,114.5979,5,0.05972222222,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-132,Banjarmasin Selatan,Mantuil,-3.32822,114.59735,3,-0.08,Cemplung/Plengsengan,Tanah Lapang,PDAM,0,0,1,0
KK-BJM-133,Banjarmasin Selatan,Mantuil,-3.32688,114.5969,5,0.08541666667,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-134,Banjarmasin Selatan,Mantuil,-3.32778,114.59815,1,-2.33,Kloset Leher Angsa,Septic Tank,Sumur Tidak Terlindung,1,1,0,1
KK-BJM-135,Banjarmasin Selatan,Mantuil,-3.32642,114.59925,1,-3.33,Cemplung/Plengsengan,Tanah Lapang,PDAM,1,1,1,0
KK-BJM-136,Banjarmasin Selatan,Mantuil,-3.32842,114.59765,3,1.02,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-137,Banjarmasin Selatan,Mantuil,-3.32708,114.5988,8,0.0,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-138,Banjarmasin Selatan,Mantuil,-3.32768,114.59685,3,-3.36,Tidak Punya (BABS),Sungai/Danau,PDAM,0,1,1,0
KK-BJM-139,Banjarmasin Selatan,Mantuil,-3.32812,114.5983,8,1.38,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-140,Banjarmasin Selatan,Mantuil,-3.32655,114.59745,8,0.08611111111,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-141,Banjarmasin Selatan,Mantuil,-3.32748,114.59895,3,-2.78,Cemplung/Plengsengan,Tanah Lapang,Air Sungai,0,1,1,1
KK-BJM-142,Banjarmasin Selatan,Mantuil,-3.32818,114.59705,1,-3.51,Tidak Punya (BABS),Sungai/Danau,Sumur Tidak Terlindung,1,1,1,1
KK-BJM-143,Banjarmasin Selatan,Mantuil,-3.32672,114.59805,3,1.07,Kloset Leher Angsa,Septic Tank,Sumur Bor/Terlindung,0,0,0,0
KK-BJM-144,Banjarmasin Selatan,Mantuil,-3.32785,114.5975,5,-0.26,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-145,Banjarmasin Selatan,Mantuil,-3.32638,114.59875,3,-2.98,Cemplung/Plengsengan,Tanah Lapang,Sumur Tidak Terlindung,0,1,1,1
KK-BJM-146,Banjarmasin Selatan,Mantuil,-3.32758,114.5971,3,-3.87,Kloset Leher Angsa,Septic Tank,Sumur Tidak Terlindung,0,1,0,1
KK-BJM-147,Banjarmasin Selatan,Mantuil,-3.32828,114.5986,5,1.08,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-148,Banjarmasin Selatan,Mantuil,-3.32692,114.59775,3,-0.97,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
KK-BJM-149,Banjarmasin Selatan,Mantuil,-3.32772,114.59905,8,-1.05,Cemplung/Plengsengan,Tanah Lapang,Sumur Tidak Terlindung,0,0,1,1
KK-BJM-150,Banjarmasin Selatan,Mantuil,-3.32648,114.5972,5,0.46,Kloset Leher Angsa,Septic Tank,PDAM,0,0,0,0
